"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"09","食料品製造業","総　　　説
　この中分類には，次のいずれかの製造を行う事業所が分類される。
(1) 畜産食料品，水産食料品などの製造
(2) 野菜缶詰，果実缶詰，農産保存食料品などの製造
(3) 調味料，糖類，動植物油脂などの製造
(4) 精穀，製粉及びでんぷん，ふくらし粉，イースト，こうじ，麦芽などの製造
(5) パン，菓子，めん類，豆腐，油揚げ，冷凍調理食品，そう（惣）菜などの製造
　　なお，清涼飲料，酒類，茶，コーヒー，氷，たばこ，飼料，有機質肥料を製造する事業所は，中分類10－飲料・たばこ・飼料製造業に分類される。
　　主として家庭又は個人消費者に直接販売するための製造を行う事業所及び販売を主とする事業所が販売に直接附随する行為として，その取り扱う商品に簡単な処理を施す場合は，大分類Ｉ－卸売業，小売業に分類される。
"
"090","管理，補助的経済活動を行う事業所（09食料品製造業）",""
"0900","主として管理事務を行う本社等","主として食料品製造業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"0909","その他の管理，補助的経済活動を行う事業所","主として食料品製造業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"091","畜産食料品製造業",""
"0911","部分肉・冷凍肉製造業","主として部分肉，冷凍肉を製造する事業所をいう。
"
"0912","肉加工品製造業","主としてソーセージ，ハム，ベーコンなどの肉製品（肉製品の缶詰，瓶詰，つぼ詰を含む）を製造する事業所をいう。
"
"0913","処理牛乳・乳飲料製造業","主として牛乳，粉乳，練乳などの処理牛乳や乳飲料，乳酸菌飲料を製造する事業所をいう。
主として生乳を殺菌して，産業用使用者に販売する事業所は本分類に含まれるが，直接家庭又は個人消費者に販売する事業所は大分類Ｉ－卸売業，小売業［58］に分類される。
"
"0914","乳製品製造業（処理牛乳，乳飲料を除く）","主としてバター，チーズ，クリーム，アイスクリームなどの乳製品（乳製品の缶詰，瓶詰，つぼ詰を含む）を製造する事業所をいう。
主としてクリームを殺菌して，産業用使用者に販売する事業所は本分類に含まれるが，直接家庭又は個人消費者に販売する事業所は大分類Ｉ－卸売業，小売業［58］に分類される。
"
"0919","その他の畜産食料品製造業","主として他に分類されない畜産食料品を製造する事業所をいう。
"
"092","水産食料品製造業",""
"0921","水産缶詰・瓶詰製造業","主として魚介類（鯨を含む），海藻類を原料として水産缶詰・瓶詰を製造する事業所をいう。
"
"0922","海藻加工業","主として海藻を原料として海藻加工品（寒天を含む）を製造する事業所をいう。
海藻缶詰・瓶詰を製造する事業所は細分類0921に，海藻つくだ煮を製造する事業所は細分類0929に分類される。
"
"0923","水産練製品製造業","主としてかまぼこ，焼ちくわ，揚げかまぼこなどの水産練製品及び魚介類（鯨を含む）を原料として魚肉ハム・ソーセージを製造する事業所をいう。
"
"0924","塩干・塩蔵品製造業","主として塩干魚介類，塩蔵魚介類を製造する事業所をいう。
"
"0925","冷凍水産物製造業","主として水産物（鯨を含む）を原料として凍結設備を使用して冷凍品を製造する事業所をいう。
"
"0926","冷凍水産食品製造業","主として水産物（鯨を含む）を原料として前処理（洗浄，内臓の除去など）を施し，凍結設備を使用して急速凍結を行って凍結状態のまま包装した冷凍水産食品を製造する事業所をいう。
主として水産物（鯨を含む）を原料として冷凍調理食品を製造する事業所は小分類099［0995］に分類される。
"
"0929","その他の水産食料品製造業","主として他に分類されない水産食料品を製造する事業所をいう。
主な製品は，素干（すぼし）魚介類，煮干魚介類，くん製魚介類，節類，削節類，塩辛製品，水産つくだ煮，水産漬物などである。
"
"093","野菜缶詰・果実缶詰・農産保存食料品製造業",""
"0931","野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）","主として果実及び野菜を原料として保存食料品（缶詰，瓶詰，つぼ詰を含む）を製造する事業所をいう。
主な製品は，果実・野菜の水煮，果実シロップ漬け，ジャム，マーマレード，果実バター，果実・野菜のジュース原液及びスープ，乾燥野菜・果実などである。
野菜漬物を製造する事業所は細分類0932に分類される。
"
"0932","野菜漬物製造業（缶詰，瓶詰，つぼ詰を除く）","主として野菜及び果実を原料として漬物を製造する事業所をいう。
本分類に含まれる漬物は野菜，果実を塩，しょう油，味そ，酒かす，酢などに浸せき（漬）加工した保存用食品漬物などである。
"
"094","調味料製造業",""
"0941","味そ製造業","主として味そを製造する事業所をいう。
"
"0942","しょう油・食用アミノ酸製造業","主としてしょう油及び食用アミノ酸を製造する事業所をいう。
"
"0943","ソース製造業","主としてソース類を製造する事業所をいう。
"
"0944","食酢製造業","主として食酢を製造する事業所をいう。
"
"0949","その他の調味料製造業","主として他に分類されない調味料を製造する事業所をいう。
"
"095","糖類製造業",""
"0951","砂糖製造業（砂糖精製業を除く）","主として国内産の甘味資源作物を原料として，砂糖を製造する事業所をいう。
"
"0952","砂糖精製業","主として購入した粗糖を精製して，砂糖を製造する事業所をいう。
購入した糖みつを加工処理して砂糖を製造する事業所も本分類に含まれる。
"
"0953","ぶどう糖・水あめ・異性化糖製造業","主としてぶどう糖，水あめ，異性化糖を製造する事業所をいう。
"
"096","精穀・製粉業",""
"0961","精米・精麦業","主として米穀のとう（搗）精や大麦，裸麦の精穀を行う事業所をいう。
"
"0962","小麦粉製造業","主として小麦粉を製造する事業所をいう。
"
"0969","その他の精穀・製粉業","主として穀粉（小麦粉を除く）を製造する事業所をいう。
主な製品は，米粉，大豆粉，そば粉，とうもろこし粉，その他の穀粉などである。
"
"097","パン・菓子製造業",""
"0971","パン製造業","主として食パン，菓子パンなどのパン類を製造する事業所をいう。
主として乾パンを製造する事業所は細分類0973に分類される。
"
"0972","生菓子製造業","主としてケーキ，ドーナッツ，パイなどの洋生菓子及びようかん，まんじゅうなどの和生菓子を製造する事業所をいう。
"
"0973","ビスケット類・干菓子製造業","主としてビスケット，クラッカーなどを製造する事業所をいう。
"
"0974","米菓製造業","主として米を原料とするあられ，せんべいなどを製造する事業所をいう。
小麦粉，でんぷんなどを原料とするせんべい類を製造する事業所は細分類0973に，せんべい生地を製造する事業所は小分類099［0999］に分類される。
"
"0979","その他のパン・菓子製造業","主として他に分類されないパン及び菓子を製造する事業所をいう。
主な製品は，キャンデー及びチョコレート，油菓（ドーナッツを除く），砂糖漬けなどである。
"
"098","動植物油脂製造業",""
"0981","動植物油脂製造業（食用油脂加工業を除く）","主として圧搾，抽出により動物油及びその副産物としてミールを製造する事業所並びに動物の油脂，骨，肉からグリース，タローを製造する事業所又は主として圧搾，抽出により大豆油，菜種油，米油，綿実油，あまに油，ひまし油などの植物油及びその副産物の油かす（ケーキミール）を製造する事業所をいう。
また，主として粗製の動物油脂又は植物油を購入してこれを精製する事業所も本分類に含まれるが，医療用として精製する事業所は中分類16［1652］に分類される。
"
"0982","食用油脂加工業","主として購入した動植物油脂をさらに加工してマーガリン，ショートニング，ラードなどを製造する事業所をいう。
主として動物油脂から脂肪酸，硬化油，グリセリンを製造する事業所は中分類16［1641］に分類される。
"
"099","その他の食料品製造業",""
"0991","でんぷん製造業","主としてかんしょ，ばれいしょ，穀類からでんぷんを製造する事業所をいう。
"
"0992","めん類製造業","主としてうどん，そうめん，そば，マカロニなどを製造する事業所をいう。
"
"0993","豆腐・油揚製造業","主として大豆を原料として豆腐，油揚げ又はしみ豆腐を製造する事業所をいう。
"
"0994","あん類製造業","主として小豆，その他の豆を主原料として生あん，練あん，乾燥あんを製造する事業所をいう。
"
"0995","冷凍調理食品製造業","主として野菜，水産物及び食肉を原料として調理食品（味付け，又はころもかけなどのように他の食品を付加したものをいう）を製造し，かつ，凍結設備を使用して急速凍結を行って凍結状態のまま包装した冷凍調理食品を製造する事業所をいう。
主な製品は，魚類フライ，スティック，コロッケ，しゅうまい，ぎょうざなどの冷凍調理食品である。
"
"0996","そう（惣）菜製造業","主として野菜，水産物，穀物，食肉等を原料とした煮物，焼物（いため物を含む），揚物，蒸し物，酢の物，あえ物等の料理品を製造する事業所をいう。
主な製品は，煮豆，うま煮，焼魚，たまご焼，野菜いため，きんぴら，コロッケ，カツレツ，天ぷら，フライ，しゅうまい，ぎょうざ，酢れんこん，サラダ，グラタンなどである。
ただし，主として肉製品の缶詰，瓶詰，つぼ詰を製造する事業所は，小分類091［0912］に，水産缶詰・瓶詰を製造する事業所は，小分類092［0921］に，果実缶詰を製造する事業所は，小分類093［0931］に分類される。
"
"0997","すし・弁当・調理パン製造業","主としてすし，弁当，調理パン等の調理食品の製造を行う事業所をいう。
"
"0998","レトルト食品製造業","主としてレトルト食品の製造を行う事業所をいう。
"
"0999","他に分類されない食料品製造業","主として他に分類されない各種食料品の製造を行う事業所をいう。
"
"10","飲料・たばこ・飼料製造業","総　　　説
　この中分類には，清涼飲料，酒類，茶，コーヒー，氷，たばこ，飼料，有機質肥料を製造する事業所が分類される。
　また，葉たばこの再乾燥，除骨，たる詰などの処理を行う事業所も本分類に含まれる。
　ただし，食料品を製造する事業所は，中分類09－食料品製造業に，たばこの副産物を利用して殺虫剤などを製造する事業所は，中分類16－化学工業［1652］に分類される。
　主として家庭又は個人消費者に直接販売するための製造を行う事業所及び販売を主とする事業所が販売に直接附随する行為として，その取り扱う商品に簡単な処理を施す場合は，大分類Ｉ－卸売業，小売業に分類される。
"
"100","管理，補助的経済活動を行う事業所（10飲料・たばこ・飼料製造業）",""
"1000","主として管理事務を行う本社等","主として飲料・たばこ・飼料製造業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"1009","その他の管理，補助的経済活動を行う事業所","主として飲料・たばこ・飼料製造業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"101","清涼飲料製造業",""
"1011","清涼飲料製造業","主としてアルコールを含まない飲料でサイダー，ラムネ，炭酸水，ジュース，シロップなどの清涼飲料及びし好飲料を製造する事業所をいう。
主として天然炭酸水の瓶詰を行う事業所は大分類Ｉ－卸売業，小売業に分類される。
"
"102","酒類製造業",""
"1021","果実酒製造業","主としてぶどう，りんごなどの果実から果実酒を製造する事業所をいう。
主として購入した果実酒の瓶詰を行うだけで，製造混合を行わないものは大分類Ｉ－卸売業，小売業に分類される。
"
"1022","ビール類製造業","主としてビール及び発泡酒などを製造する事業所をいう。
"
"1023","清酒製造業","主として清酒を製造する事業所をいう。
"
"1024","蒸留酒・混成酒製造業","主として蒸留機により飲料用アルコール又は焼ちゅうなどを製造し，又はこれらを原料とし他の原料と併用して混成酒（又は再製酒）を製造する事業所をいう。
主な製品は焼ちゅう，ウイスキー，ブランデーなど及び合成清酒，味りん，白酒，リキュール，薬味酒などである。
"
"103","茶・コーヒー製造業（清涼飲料を除く）",""
"1031","製茶業","主として購入した茶生葉又は荒茶を主原料にして，荒茶又は仕上げ茶を製造する事業所をいう。
"
"1032","コーヒー製造業","  主としてコーヒー生豆をばいせん（焙煎），粉砕して荒びきコーヒー又はインスタントコーヒーを製造する事業所をいう。
"
"104","製氷業",""
"1041","製氷業","主として販売用氷を製造する事業所をいう。
主としてドライアイスを製造する事業所は中分類16［1623］に，また，天然氷の採取貯蔵を行うものは大分類Ｃ－鉱業，採石業，砂利採取業［0599］に分類される。
"
"105","たばこ製造業",""
"1051","たばこ製造業（葉たばこ処理業を除く)","主として紙巻たばこ，葉巻たばこ，きざみたばこ，パイプたばこなどを製造する事業所をいう。
"
"1052","葉たばこ処理業","主として葉たばこの処理，例えば葉たばこの再乾燥，除骨，たる詰などを行う事業所をいう。
ただし，農家で行う乾燥調理などは含まれない。
"
"106","飼料・有機質肥料製造業",""
"1061","配合飼料製造業","主として穀類などを原料として，家畜，家きん（禽），愛がん・観賞用動物などの配合飼料を製造する事業所をいう。
"
"1062","単体飼料製造業","主として購入した動植物性加工副産物を原料として家畜，家きん（禽），愛がん・観賞用動物などの単体飼料を製造する事業所をいう。
"
"1063","有機質肥料製造業","主として動物性，植物性の肥料を製造する事業所をいう。
"
"11","繊維工業","総　　　説
　この中分類には，主として製糸，紡績糸，織物，ニット生地，網地，フェルト，染色整理及び衣服の縫製など繊維製品の製造を行う事業所が分類される。
　ただし，グラスウール，ロックウールなどの紡織を行う事業所は中分類21－窯業・土石製品製造業［それぞれ2117，2191，2199］に分類される。
"
"110","管理，補助的経済活動を行う事業所（11繊維工業）",""
"1100","主として管理事務を行う本社等","主として繊維工業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"1109","その他の管理，補助的経済活動を行う事業所","主として繊維工業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"111","製糸業，紡績業，化学繊維・ねん糸等製造業",""
"1111","製糸業","主として生糸を製造する事業所をいう。
"
"1112","化学繊維製造業","主として合成繊維を製造する事業所をいう。
主な製品は，レーヨン糸，強力レーヨン糸，キュプラ（銅アンモニア糸），スフ（ビスコース短繊維），アセテート長繊維，アセテート短繊維，ナイロン，ビニロン，ポリ塩化ビニリデン，ポリ塩化ビニル，ポリエステル，ポリエチレン，アクリル，ポリプロピレンなどの繊維である。
"
"1113","炭素繊維製造業","主として炭素繊維を製造する事業所をいう。
"
"1114","綿紡績業","主として綿から紡績糸を製造する事業所をいう。
"
"1115","化学繊維紡績業","主としてスフ（ビスコース短繊維），アセテート短繊維，合成繊維短繊維などから紡績糸を製造する事業所をいう。
"
"1116","毛紡績業","主として羊毛から紡績糸を製造する事業所をいう。
"
"1117","ねん糸製造業（かさ高加工糸を除く）","主として絹，レーヨン，綿，スフ，毛，合成繊維などの糸から，ねん糸を製造する事業所をいう。
"
"1118","かさ高加工糸製造業","主としてアセテート，合成繊維などの糸から，かさ高加工糸（伸縮加工糸などを含む）を製造する事業所をいう。
"
"1119","その他の紡績業","主として他に分類されない紡績糸を製造する事業所をいう。
"
"112","織物業",""
"1121","綿・スフ織物業","主として綿糸，スフ糸，合成繊維紡績糸，和紡糸などで，幅13.0㎝以上の織物を製造する事業所をいう。
"
"1122","絹・人絹織物業","主として生糸，絹紡糸，レーヨン，合成繊維長繊維などで，幅13.0㎝以上の織物を製造する事業所をいう。
"
"1123","毛織物業","主としてそ毛糸，紡毛糸，合成繊維紡績糸などで，幅13.0㎝以上の織物を製造する事業所をいう。
"
"1124","麻織物業","主として亜麻糸，ちょ麻糸，黄麻糸，合成繊維紡績糸などで，幅13.0㎝（ただし，ホース地は直径2.5㎝）以上の織物を製造する事業所をいう。
"
"1125","細幅織物業","主として綿糸，絹糸，麻糸，レーヨン，スフ糸，合成繊維糸などで，幅13.0㎝未満の細幅織物を製造する事業所をいう。
ゴム糸入織物を製造する事業所は織幅に関係なく本分類に含まれる。
"
"1129","その他の織物業","主として他に分類されない幅13.0㎝以上の織物を製造する事業所をいう。
"
"113","ニット生地製造業",""
"1131","丸編ニット生地製造業","主として丸編ニット生地又は丸編ニット半製品を製造する事業所をいう。
主として丸編ニット製品を製造する事業所は小分類116から119に分類される。
"
"1132","たて編ニット生地製造業","主としてたて編ニット生地を製造する事業所をいう。
主としてたて編ニット製品を製造する事業所は小分類116から119に分類される。
"
"1133","横編ニット生地製造業","主として横編ニット生地又は横編ニット半製品を製造する事業所をいう。
主として横編ニット製品を製造する事業所は小分類116から119に分類される。
"
"114","染色整理業","主として綿状繊維，糸，織物，ニット，レース，繊維雑品などに精練，漂白，染色及び整理仕上げ，その他の処理を行う事業所をいう。
機械染色整理業とは，精練，漂白，浸染，なっ染及び整理仕上げの工程が機械的に行われているものをいう。
また，手加工染色整理業とは，精練，漂白，浸染，なっ染の工程が，主として人力によって行われるもので，その加工品の整理仕上工程が機械化されていても機械染色整理業とは認めない。
"
"1141","綿・スフ・麻織物機械染色業","主として綿，スフ，麻織物及び綿，スフ，麻風合成繊維織物に機械による精練，漂白，浸染，なっ染及びその附帯加工を行う事業所をいう。
"
"1142","絹・人絹織物機械染色業","主として絹（絹紡を含む），レーヨン織物及び絹，レーヨン風合成繊維織物に機械による精練，漂白，浸染，なっ染及びその附帯加工を行う事業所をいう。
"
"1143","毛織物機械染色整理業","主として毛織物及び毛風合成繊維織物に機械による精練，漂白，浸染，なっ染，整理仕上げ，その他の処理を行う事業所をいう。
"
"1144","織物整理業","主として織物（毛織物及び毛風合成繊維織物を除く）に機械による幅出し，乾燥などの処理を行う事業所（専業）をいう。
"
"1145","織物手加工染色整理業","主として織物に人力による精練，漂白，浸染，なっ染，その他の処理を行う事業所をいう。
"
"1146","綿状繊維・糸染色整理業","主として綿状繊維及び糸に精練，漂白，染色，整理仕上げ，その他の処理を行う事業所をいう。
"
"1147","ニット・レース染色整理業","主としてニット（靴下を含む），レースに精練，漂白，染色，整理仕上げ，その他の処理を行う事業所をいう。
"
"1148","繊維雑品染色整理業","主としてタオル，細幅織物，組ひも，綱，網などに精練，漂白，染色，整理仕上げ，その他の処理を行う事業所をいう。
"
"115","綱・網・レース・繊維粗製品製造業",""
"1151","綱製造業","主としてマニラ麻，サイザル，やし繊維，しゅろ繊維，綿糸，合成繊維糸などで綱を製造する事業所をいう。
わら縄を製造する事業所は中分類32［3281］に分類される。
"
"1152","漁網製造業","主として綿糸，マニラトワイン，ちょ麻糸，合成繊維糸などで，漁網地を製造する事業所をいう。
"
"1153","網地製造業（漁網を除く）","主として綿糸，絹糸，麻糸，合成繊維糸などで，漁網以外の網地を製造する事業所をいう。
"
"1154","レース製造業","主としてレースを製造する事業所をいう。
"
"1155","組ひも製造業","主として綿糸，絹糸，麻糸，レーヨン，スフ糸，合成繊維糸又はゴム糸などで，組ひもを製造する事業所をいう。
"
"1156","整毛業","主として羊毛及び羊毛類似の獣毛の洗上，化炭及び毛，綿，レーヨン，スフ，合成繊維などの紡織くずの反毛を行う事業所をいう。
トップを製造する事業所も本分類に含まれる。
"
"1157","フェルト・不織布製造業","主として羊毛，獣毛などを用い，ハーダー又は刺針機などにより，プレスフェルトを製造する事業所及びレーヨン，スフ，合成繊維などに化学的，機械的処理を施し，不織布を製造する事業所をいう。
織フェルトを製造する事業所は小分類112［1123］に分類される。
"
"1158","上塗りした織物・防水した織物製造業","主として油布，タイプライタリボン，絶縁布，トレーシングクロス，ブラインドクロスなどの上塗り又は防水した織物を製造する事業所をいう。
ゴム引布を製造する事業所は中分類19［1991］に分類される。
"
"1159","その他の繊維粗製品製造業","主として他に分類されない繊維品を製造する事業所をいう。
"
"116","外衣・シャツ製造業（和式を除く）",""
"1161","織物製成人男子・少年服製造業（不織布製及びレース製を含む）","主として織物製背広服，制服（学校服を除いた警察職員制服，消防職員制服，鉄道職員制服，自衛隊制服など），オーバーコート，スプリングコート，レインコート，ジャンパー，ズボン，ジャケットなどの織物製成人男子・少年用外衣（乳幼児用を除く）を製造する事業所をいう。
織物製作業用，スポーツ用外衣及び織物製学校服を製造する事業所は細分類1165に，ニット製外衣を製造する事業所は細分類1166に分類される。
また，一貫作業によってゴム引又はビニル製外衣などを製造する事業所は中分類19［1991］又は中分類18［1897］にそれぞれ分類される。
"
"1162","織物製成人女子・少女服製造業（不織布製及びレース製を含む）","主として織物製ドレス，スーツ，制服（学校服を除いた警察職員制服，消防職員制服，鉄道職員制服，自衛隊制服など），オーバーコート，スプリングコート，レインコート，ケープ，ローブ，ジャンパー，ジャケット，ブラウス，スラックス，スカートなどの織物製成人女子・少女用外衣（乳幼児用を除く）を製造する事業所をいう。
織物製作業用，スポーツ用外衣及び織物製学校服を製造する事業所は細分類1165に，ニット製外衣を製造する事業所は細分類1166に，ニット製アウターシャツ類製造業は細分類1167に，セーター類製造業は細分類1168に分類される。
また，一貫作業によってゴム引又はビニル製外衣などを製造する事業所は中分類19［1991］又は中分類18［1897］にそれぞれ分類される。
"
"1163","織物製乳幼児服製造業（不織布製及びレース製を含む）","主として織物製オーバーオール，ロンパース，ズボン・スカートなどの乳幼児服を製造する事業所をいう。
"
"1164","織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）","主として織物製ワイシャツ，開襟シャツなどを製造する事業所をいう。ニット製シャツを製造する事業所は細分類1167に分類される。
"
"1165","織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）","主として織物製事務用，作業用，衛生用（美容衣，助産着，看護衣，医務服，白衣など）
スポーツ用（スキー服，登山服，乗馬服，狩猟服，野球服，水着類など）の衣服及び学校服（学童，中学，高校，大学生服など）を製造する事業所をいう。
ニット製事務用・作業用・スポーツ用（トレーニングウエア，スキー服，野球服，水着類など）衣服（アウターシャツ類を除く）及び学校服を製造する事業所は細分類1169に分類される。
"
"1166","ニット製外衣製造業（アウターシャツ類，セーター類などを除く）","主としてニット製成人男子・少年服，ニット製成人女子・少女服，ニット製乳幼児服を製造する事業所をいう。
"
"1167","ニット製アウターシャツ類製造業","主としてニット製Ｔシャツ，ワイシャツ，ポロシャツ，オープンシャツ，タンクトップ，トレーナーなどアウターシャツ類を製造する事業所をいう。
"
"1168","セーター類製造業","主としてセーター，カーディガン，ベストなどを製造する事業所をいう。
セーター製造業；カーディガン製造業；ベスト製造業
"
"1169","その他の外衣・シャツ製造業","主としてニット製事務用・作業用・スポーツ用（トレーニングウエア，スキー服，野球服，水着類など）衣服（アウターシャツ類を除く），学校服など，その他のニット製外衣・シャツを製造する事業所をいう。
"
"117","下着類製造業",""
"1171","織物製下着製造業","主として織物製のアンダーシャツ（ワイシャツなどを除く），ズボン下，パンツ，ペチコート，スリップなどの下着を製造する事業所をいう。
ニット製下着を製造する事業所は細分類1172に分類される。
"
"1172","ニット製下着製造業","主としてニット製のアンダーシャツ（アウターシャツ類を除く），ズボン下，パンツ，ペチコート，スリップなどの下着を製造する事業所をいう。
織物製下着を製造する事業所は細分類1171に，織物製寝着類及びニット製寝着類を製造する事業所は細分類1173に，補整着を製造する事業所は細分類1174に分類される。
"
"1173","織物製・ニット製寝着類製造業","主として織物製,ニット製のパジャマ，ナイトガウンなど寝着類を製造する事業所をいう。
"
"1174","補整着製造業","主として材料のいかんを問わず，ブラジャー，ガードル，ボディスーツ，ウエストニッパーなどの補整着及びこれらの組合せ品を製造する事業所をいう。
"
"118","和装製品・その他の衣服・繊維製身の回り品製造業",""
"1181","和装製品製造業（足袋を含む）","主として長着，羽織，じゅばん，帯，はかま，コート，半てん，柔道着，剣道着などの和服及び和服用繊維製身の回り品（ショール，半えり，帯揚げ，帯締め，羽織ひもなど）を製造する事業所をいう。
足袋,ふろしき，ふくさなどを製造する事業所も本分類に含まれる。
"
"1182","ネクタイ製造業","主として繊維製のネクタイを製造する事業所をいう。
"
"1183","スカーフ・マフラー・ハンカチーフ製造業","主として繊維製のスカーフ，ネッカチーフ，マフラー,ハンカチーフなどを製造する事業所をいう。
"
"1184","靴下製造業","主として繊維製の靴下を製造する事業所をいう。
タイツ，パンティストッキングを製造する事業所も本分類に含まれる。
"
"1185","手袋製造業","主として繊維製の手袋を製造する事業所をいう。
"
"1186","帽子製造業（帽体を含む）","主として繊維製の帽子を製造する事業所をいう。
帽体を製造する事業所も本分類に含まれる。
"
"1189","他に分類されない衣服・繊維製身の回り品製造業","主として毛皮製のコート，ジャケット，えり巻，チョッキ，マフ及び服飾品などを製造する事業所,購入した織物，組ひも又はなめし革，毛皮などを交えてつくられたサスペンダー，ガーター，アームバンド，そのほか衛生衣服附属品（よだれ掛，おしめカバー，衛生バンドなど）など，他に分類されない衣服・繊維製身の回り品を製造する事業所をいう。なめし革製衣服を製造する事業所も本分類に含まれる。
ただし，なめし革製手袋を製造する事業所は中分類20［2051］に，ゴム製手袋を製造する事業所は中分類19［1992，1999］に分類される。
"
"119","その他の繊維製品製造業",""
"1191","寝具製造業","主として布団（掛布団，敷布団，座布団），夜着，寝具用カバーなどを製造する事業所をいう。
"
"1192","毛布製造業","主として織物製，ニット製などの毛布を製造する事業所をいう。毛布地を製造する事業所は小分類112又は113に分類される。
また，毛布地製の衣類などを製造する事業所は小分類116に分類される。
"
"1193","じゅうたん・その他の繊維製床敷物製造業","主として綿，羊毛，レーヨン，スフ，合成繊維，硬質麻類繊維などの繊維で，じゅうたん，だん通又はその他の繊維製の床敷物を製造する事業所をいう。
畳表，ござ，花むしろ及びリノリウムなどの床敷物を製造する事業所は中分類32［3282，3299］に分類される。
"
"1194","帆布製品製造業","主としてテント，シート，日よけ，ほろなどの帆布製品を製造する事業所をいう。
かばん及び袋物を製造する事業所は中分類20［2061，2071］に分類される。
"
"1195","繊維製袋製造業","主として麻袋（ヘッシャンバッグ，ガンニーバッグ），綿袋，スフ袋，合成繊維袋などを製造する事業所をいう。
"
"1196","刺しゅう業","主として手又は機械により刺しゅう加工を行う事業所をいう。
"
"1197","タオル製造業","主としてタオルを製造する事業所をいう。
"
"1198","繊維製衛生材料製造業","主として脱脂綿，繊維製生理用品，ガーゼ，ほう帯などを製造する事業所をいう。
"
"1199","他に分類されない繊維製品製造業","主として購入した織物又はレース地（ドロンワーク，カットワークなどを含む）などからカーテン及びどん帳，テーブル掛，テーブルセンター，ドイリー，ナプキン，旗，のぼり，引幕，脚はん（ゲートル，スパッツなど），そのほか他に分類されない縫製雑品を製造する事業所をいう。
"
"12","木材・木製品製造業（家具を除く）","総　　　説
　この中分類には，主として製材及び単板（ベニヤ），合板，屋根まさなど木製基礎資材を製造する事業所並びにこれらの木材又は竹，とう，コルクなどを主要材料としてつくられる製品を製造する事業所が分類される。
　ただし，家具，建具を製造する事業所は中分類13－家具・装備品製造業に，木型，木製の楽器，がん具，運動用具，ほうき，くま手などを製造する事業所は中分類32－その他の製造業に分類される。また，建設工事現場で建設工事の一部として行う木製品の製造，木材による修繕，改装などを行う事業所は大分類Ｄ－建設業に，また，個人の注文によって木製品を製造し小売する事業所は大分類Ｉ－卸売業，小売業に分類される。
"
"120","管理，補助的経済活動を行う事業所（12木材・木製品製造業）",""
"1200","主として管理事務を行う本社等","主として木材・木製品製造業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"1209","その他の管理，補助的経済活動を行う事業所","主として木材・木製品製造業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"121","製材業，木製品製造業",""
"1211","一般製材業","主として丸太（そま角，大割材などを含む）を原料として製材機械によって板，角材などの製材を行う事業所をいう。
購入した材料から木箱，包装木箱などを製造する事業所は小分類123［1232］に，木製サッシ（窓，戸の枠），その他の造作材を製造する事業所は小分類122［1221］に分類される。土木建築の一部として工事現場で行う製材は本分類に含まれない。
"
"1212","単板（ベニヤ）製造業","主として単板（ベニヤ）を製造する事業所をいう。
合板を製造する事業所は小分類122［1222］に，菓子及び果物かご，木箱を製造する事業所は小分類123［1232］に分類される。
"
"1213","木材チップ製造業","主として木材チップを製造する事業所をいう。
"
"1219","その他の特殊製材業","他に分類されない特殊な製材品又は木製品を製造する事業所をいう。
なお，竹及び枝づるなどの加工基礎資材を製造する事業所も本分類に含まれる。
"
"122","造作材・合板・建築用組立材料製造業",""
